brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q1056567,Cervélo,Cervelo|Cervelo Cycles|Cervélo Cycles|cervelocycles,http://www.wikidata.org/entity/Q2522251,Pon Holdings,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q1063167,Octopus card,Badatong|Octopus,http://www.wikidata.org/entity/Q3348994,Octopus Cards Limited,,,,
http://www.wikidata.org/entity/Q1126041,congstar,Congster|T-Congstar,http://www.wikidata.org/entity/Q9396,Deutsche Telekom,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1126041,congstar,Congster|T-Congstar,http://www.wikidata.org/entity/Q2401704,Telekom Deutschland,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1126126,Dr. Martens,DMs|DMs product|Doc Martens|Docs|Doctor Martens|Doctor Martens product|Dr Martens Airwair Group Limited|Dr Martens PLC|Dr Martens product|Dr. Martens product|R. Griggs Group Limited,http://www.wikidata.org/entity/Q125218797,Wollaston Vulcanizing Company Limited,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1126126,Dr. Martens,DMs|DMs product|Doc Martens|Docs|Doctor Martens|Doctor Martens product|Dr Martens Airwair Group Limited|Dr Martens PLC|Dr Martens product|Dr. Martens product|R. Griggs Group Limited,http://www.wikidata.org/entity/Q662030,Permira,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1541268,Lancôme,Lancome,http://www.wikidata.org/entity/Q156077,L'Oréal,,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q1542795,Oberpfalzbahn,oberpfalzbahn,http://www.wikidata.org/entity/Q315339,Die Länderbahn,,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q1568343,Märkische Regiobahn,MR,http://www.wikidata.org/entity/Q2036077,Ostseeland Verkehr,,,http://www.wikidata.org/entity/Q668,India
http://www.wikidata.org/entity/Q1627475,Pocher,Pocher company,http://www.wikidata.org/entity/Q164484,Hornby Hobbies Limited,,,http://www.wikidata.org/entity/Q145,United Kingdom
http://www.wikidata.org/entity/Q1645436,Tonka,Tonka Toys|Tonka Trucks,http://www.wikidata.org/entity/Q65077565,Funrise Toys,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1645436,Tonka,Tonka Toys|Tonka Trucks,http://www.wikidata.org/entity/Q501476,Hasbro,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1658320,76 (gas station),Union 76,http://www.wikidata.org/entity/Q1656230,Phillips 66,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1789249,SRT,Street & Racing Technology|Street and Racing Technology,http://www.wikidata.org/entity/Q181114,Stellantis North America,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q123407232,Auto Strop,AutoStrop,http://www.wikidata.org/entity/Q123402667,Autostrop Safety Razor Company,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q123505824,M-net,M-NET|M.net,http://www.wikidata.org/entity/Q2107949,EBS,,,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q123556040,Fangchengbao,Fang Cheng Bao,http://www.wikidata.org/entity/Q27423,BYD Auto,,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q123565819,Reliance Smart,Reliance SMART|Reliance Smart Super Store,http://www.wikidata.org/entity/Q7311028,Reliance Retail,,,http://www.wikidata.org/entity/Q668,India
